UF;Município;Faixa etária;Gênero;Grau de instrução;Turno;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;SUPERIOR COMPLETO;1;16;0,8;4;20;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;1;2;0,5;2;4;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;ANALFABETO;1;38;0,6909;17;55;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;6;1;0;6;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;38;0,8085;9;47;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;1;17;0,9444;1;18;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;7;0,875;1;8;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;LÊ E ESCREVE;1;64;0,9143;6;70;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;SUPERIOR COMPLETO;1;14;1;0;14;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;SUPERIOR INCOMPLETO;1;1;1;0;1;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;ANALFABETO;1;29;0,4833;31;60;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;8;1;0;8;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;59;0,831;12;71;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;1;12;0,75;4;16;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;9;0,75;3;12;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;LÊ E ESCREVE;1;83;0,8218;18;101;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;SUPERIOR COMPLETO;1;10;0,9091;1;11;2025-04-30 07:09:09
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;1;3;1;0;3;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;ANALFABETO;1;28;0,6512;15;43;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;7;0,7778;2;9;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;38;0,9048;4;42;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;1;5;0,5556;4;9;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;5;0,8333;1;6;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;LÊ E ESCREVE;1;74;0,925;6;80;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;SUPERIOR COMPLETO;1;12;0,8571;2;14;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;ANALFABETO;1;29;0,5472;24;53;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;4;0,8;1;5;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;45;0,9;5;50;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;1;7;1;0;7;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;2;0,6667;1;3;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;LÊ E ESCREVE;1;85;0,8252;18;103;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;SUPERIOR COMPLETO;1;5;1;0;5;2025-04-30 07:09:09
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;1;2;1;0;2;2025-04-30 07:09:09
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;ANALFABETO;1;30;0,5263;27;57;2025-04-30 07:09:09
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;5;0,8333;1;6;2025-04-30 07:09:09
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;10;0,7143;4;14;2025-04-30 07:09:09
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;1;5;1;0;5;2025-04-30 07:09:09
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;LÊ E ESCREVE;1;48;0,8571;8;56;2025-04-30 07:09:09
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;SUPERIOR COMPLETO;1;4;1;0;4;2025-04-30 07:09:09
