UF;Município;Faixa etária;Gênero;Grau de instrução;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;SUPERIOR INCOMPLETO;3;1;0;3;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;ANALFABETO;34;0,5152;32;66;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;13;1;0;13;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;97;0,8981;11;108;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;41;0,9535;2;43;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;13;0,8667;2;15;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;LÊ E ESCREVE;66;0,88;9;75;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;SUPERIOR COMPLETO;23;0,7931;6;29;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;3;1;0;3;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;ANALFABETO;30;0,6122;19;49;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;6;0,8571;1;7;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;39;0,8125;9;48;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;20;0,9524;1;21;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;3;0,6;2;5;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;LÊ E ESCREVE;55;0,9167;5;60;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;FEMININO;SUPERIOR COMPLETO;22;1;0;22;2025-04-29 22:31:40
